id,Dest,Dest_lon,Dest_lat,Origin,Origin_lon,Origin_lat
145,PVD,-71.4399,41.723,TPA,-82.5356,27.9744
146,RDU,-78.7923,35.8729,TPA,-82.5356,27.9744
147,DAL,-96.8496,32.8439,TUL,-95.8892,36.1877
148,HOU,-95.2795,29.6572,TUL,-95.8892,36.1877
149,LAS,-115.143,36.0806,TUL,-95.8892,36.1877
150,MCI,-94.7171,39.2992,TUL,-95.8892,36.1877
151,PHX,-112.03,33.4376,TUL,-95.8892,36.1877
152,ABQ,-106.625,35.0494,TUS,-110.936,32.1204
153,LAS,-115.143,36.0806,TUS,-110.936,32.1204
154,LAX,-118.391,33.9456,TUS,-110.936,32.1204
155,MDW,-87.7416,41.7875,TUS,-110.936,32.1204
156,OAK,-122.209,37.7158,TUS,-110.936,32.1204
157,AMA,-101.706,35.2177,ABQ,-106.625,35.0494
158,BWI,-76.6745,39.1841,ABQ,-106.625,35.0494
159,DAL,-96.8496,32.8439,ABQ,-106.625,35.0494
160,DEN,-104.672,39.8396,ABQ,-106.625,35.0494
161,ELP,-106.393,31.7982,ABQ,-106.625,35.0494
162,HOU,-95.2795,29.6572,ABQ,-106.625,35.0494
163,LAS,-115.143,36.0806,ABQ,-106.625,35.0494
164,LAX,-118.391,33.9456,ABQ,-106.625,35.0494
165,LBB,-101.821,33.6566,ABQ,-106.625,35.0494
166,MAF,-102.208,31.9361,ABQ,-106.625,35.0494
167,MCI,-94.7171,39.2992,ABQ,-106.625,35.0494
168,MCO,-81.3115,28.4418,ABQ,-106.625,35.0494
169,MDW,-87.7416,41.7875,ABQ,-106.625,35.0494
170,OAK,-122.209,37.7158,ABQ,-106.625,35.0494
171,PDX,-122.587,45.5867,ABQ,-106.625,35.0494
172,PHX,-112.03,33.4376,ABQ,-106.625,35.0494
173,BWI,-76.6745,39.1841,ALB,-73.809,42.7426
174,LAS,-115.143,36.0806,ALB,-73.809,42.7426
175,MCO,-81.3115,28.4418,ALB,-73.809,42.7426
176,MDW,-87.7416,41.7875,ALB,-73.809,42.7426
177,DAL,-96.8496,32.8439,AMA,-101.706,35.2177
178,DEN,-104.672,39.8396,AMA,-101.706,35.2177
179,LAS,-115.143,36.0806,AMA,-101.706,35.2177
180,BNA,-86.6682,36.1342,AUS,-97.6653,30.2027
181,BWI,-76.6745,39.1841,AUS,-97.6653,30.2027
182,DAL,-96.8496,32.8439,AUS,-97.6653,30.2027
183,DEN,-104.672,39.8396,AUS,-97.6653,30.2027
184,ELP,-106.393,31.7982,AUS,-97.6653,30.2027
185,HOU,-95.2795,29.6572,AUS,-97.6653,30.2027
186,HRL,-97.663,26.2216,AUS,-97.6653,30.2027
187,LAS,-115.143,36.0806,AUS,-97.6653,30.2027
188,LAX,-118.391,33.9456,AUS,-97.6653,30.2027
189,LBB,-101.821,33.6566,AUS,-97.6653,30.2027
190,MAF,-102.208,31.9361,AUS,-97.6653,30.2027
191,MCO,-81.3115,28.4418,AUS,-97.6653,30.2027
192,MDW,-87.7416,41.7875,AUS,-97.6653,30.2027
193,PHX,-112.03,33.4376,AUS,-97.6653,30.2027
194,BNA,-86.6682,36.1342,BDL,-72.6816,41.9271
195,BWI,-76.6745,39.1841,BDL,-72.6816,41.9271
196,LAS,-115.143,36.0806,BDL,-72.6816,41.9271
197,MCO,-81.3115,28.4418,BDL,-72.6816,41.9271
198,MDW,-87.7416,41.7875,BDL,-72.6816,41.9271
199,BNA,-86.6682,36.1342,BHM,-86.7492,33.5604
200,BWI,-76.6745,39.1841,BHM,-86.7492,33.5604
201,DAL,-96.8496,32.8439,BHM,-86.7492,33.5604
202,HOU,-95.2795,29.6572,BHM,-86.7492,33.5604
203,JAX,-81.676,30.4914,BHM,-86.7492,33.5604
204,LAS,-115.143,36.0806,BHM,-86.7492,33.5604
205,MCO,-81.3115,28.4418,BHM,-86.7492,33.5604
206,MDW,-87.7416,41.7875,BHM,-86.7492,33.5604
207,MSY,-90.2569,29.983,BHM,-86.7492,33.5604
208,PHX,-112.03,33.4376,BHM,-86.7492,33.5604
209,BWI,-76.6745,39.1841,BNA,-86.6682,36.1342
210,CLE,-81.8339,41.4115,BNA,-86.6682,36.1342
211,CMH,-82.8877,39.9974,BNA,-86.6682,36.1342
212,DEN,-104.672,39.8396,BNA,-86.6682,36.1342
213,DTW,-83.3412,42.2327,BNA,-86.6682,36.1342
214,FLL,-80.1354,26.0722,BNA,-86.6682,36.1342
215,HOU,-95.2795,29.6572,BNA,-86.6682,36.1342
216,JAX,-81.676,30.4914,BNA,-86.6682,36.1342
217,LAS,-115.143,36.0806,BNA,-86.6682,36.1342
218,LAX,-118.391,33.9456,BNA,-86.6682,36.1342
219,MCI,-94.7171,39.2992,BNA,-86.6682,36.1342
220,MCO,-81.3115,28.4418,BNA,-86.6682,36.1342
221,MDW,-87.7416,41.7875,BNA,-86.6682,36.1342
222,MSY,-90.2569,29.983,BNA,-86.6682,36.1342
223,OAK,-122.209,37.7158,BNA,-86.6682,36.1342
224,ONT,-117.594,34.062,BNA,-86.6682,36.1342
225,PHL,-75.2419,39.8768,BNA,-86.6682,36.1342
226,PHX,-112.03,33.4376,BNA,-86.6682,36.1342
227,PVD,-71.4399,41.723,BNA,-86.6682,36.1342
228,RDU,-78.7923,35.8729,BNA,-86.6682,36.1342
229,GEG,-117.538,47.625,BOI,-116.222,43.5709
230,LAS,-115.143,36.0806,BOI,-116.222,43.5709
231,OAK,-122.209,37.7158,BOI,-116.222,43.5709
232,PDX,-122.587,45.5867,BOI,-116.222,43.5709
233,RNO,-119.776,39.5064,BOI,-116.222,43.5709
234,BWI,-76.6745,39.1841,BUF,-78.738,42.9309
235,LAS,-115.143,36.0806,BUF,-78.738,42.9309
236,MCO,-81.3115,28.4418,BUF,-78.738,42.9309
237,MDW,-87.7416,41.7875,BUF,-78.738,42.9309
238,PHX,-112.03,33.4376,BUF,-78.738,42.9309
239,LAS,-115.143,36.0806,BUR,-118.352,34.1963
240,OAK,-122.209,37.7158,BUR,-118.352,34.1963
241,PHX,-112.03,33.4376,BUR,-118.352,34.1963
242,CLE,-81.8339,41.4115,BWI,-76.6745,39.1841
243,CMH,-82.8877,39.9974,BWI,-76.6745,39.1841
244,DEN,-104.672,39.8396,BWI,-76.6745,39.1841
245,DTW,-83.3412,42.2327,BWI,-76.6745,39.1841
246,FLL,-80.1354,26.0722,BWI,-76.6745,39.1841
247,HOU,-95.2795,29.6572,BWI,-76.6745,39.1841
248,IND,-86.2707,39.7322,BWI,-76.6745,39.1841
249,ISP,-73.0984,40.7891,BWI,-76.6745,39.1841
250,JAN,-90.0733,32.3089,BWI,-76.6745,39.1841
251,JAX,-81.676,30.4914,BWI,-76.6745,39.1841
252,LAS,-115.143,36.0806,BWI,-76.6745,39.1841
253,LIT,-92.219,34.7278,BWI,-76.6745,39.1841
254,MCI,-94.7171,39.2992,BWI,-76.6745,39.1841
255,MCO,-81.3115,28.4418,BWI,-76.6745,39.1841
256,MDW,-87.7416,41.7875,BWI,-76.6745,39.1841
257,MHT,-71.4386,42.9293,BWI,-76.6745,39.1841
258,MSY,-90.2569,29.983,BWI,-76.6745,39.1841
259,OKC,-97.5974,35.3981,BWI,-76.6745,39.1841
260,ORF,-76.2154,36.8977,BWI,-76.6745,39.1841
261,PBI,-80.0889,26.6909,BWI,-76.6745,39.1841
262,PHX,-112.03,33.4376,BWI,-76.6745,39.1841
263,PIT,-80.2328,40.4914,BWI,-76.6745,39.1841
264,PVD,-71.4399,41.723,BWI,-76.6745,39.1841
265,RDU,-78.7923,35.8729,BWI,-76.6745,39.1841
266,LAS,-115.143,36.0806,CLE,-81.8339,41.4115
267,MCO,-81.3115,28.4418,CLE,-81.8339,41.4115
268,MDW,-87.7416,41.7875,CLE,-81.8339,41.4115
269,LAS,-115.143,36.0806,CMH,-82.8877,39.9974
270,MCO,-81.3115,28.4418,CMH,-82.8877,39.9974
271,MDW,-87.7416,41.7875,CMH,-82.8877,39.9974
272,PHL,-75.2419,39.8768,CMH,-82.8877,39.9974
273,PHX,-112.03,33.4376,CMH,-82.8877,39.9974
274,HOU,-95.2795,29.6572,CRP,-97.5019,27.7747
275,ELP,-106.393,31.7982,DAL,-96.8496,32.8439
276,HOU,-95.2795,29.6572,DAL,-96.8496,32.8439
277,LBB,-101.821,33.6566,DAL,-96.8496,32.8439
278,LIT,-92.219,34.7278,DAL,-96.8496,32.8439
279,MAF,-102.208,31.9361,DAL,-96.8496,32.8439
280,MCI,-94.7171,39.2992,DAL,-96.8496,32.8439
281,MSY,-90.2569,29.983,DAL,-96.8496,32.8439
282,OKC,-97.5974,35.3981,DAL,-96.8496,32.8439
283,HOU,-95.2795,29.6572,DEN,-104.672,39.8396
284,LAS,-115.143,36.0806,DEN,-104.672,39.8396
285,MCI,-94.7171,39.2992,DEN,-104.672,39.8396
286,MCO,-81.3115,28.4418,DEN,-104.672,39.8396
287,MDW,-87.7416,41.7875,DEN,-104.672,39.8396
288,OAK,-122.209,37.7158,DEN,-104.672,39.8396
289,OKC,-97.5974,35.3981,DEN,-104.672,39.8396
290,PHX,-112.03,33.4376,DEN,-104.672,39.8396
291,MCO,-81.3115,28.4418,DTW,-83.3412,42.2327
292,MDW,-87.7416,41.7875,DTW,-83.3412,42.2327
293,PHX,-112.03,33.4376,DTW,-83.3412,42.2327
294,HOU,-95.2795,29.6572,ELP,-106.393,31.7982
295,LAS,-115.143,36.0806,ELP,-106.393,31.7982
296,LAX,-118.391,33.9456,ELP,-106.393,31.7982
297,LBB,-101.821,33.6566,ELP,-106.393,31.7982
298,PHX,-112.03,33.4376,ELP,-106.393,31.7982
299,HOU,-95.2795,29.6572,FLL,-80.1354,26.0722
300,ISP,-73.0984,40.7891,FLL,-80.1354,26.0722
301,JAX,-81.676,30.4914,FLL,-80.1354,26.0722
302,MCO,-81.3115,28.4418,FLL,-80.1354,26.0722
303,MDW,-87.7416,41.7875,FLL,-80.1354,26.0722
304,MSY,-90.2569,29.983,FLL,-80.1354,26.0722
305,PHL,-75.2419,39.8768,FLL,-80.1354,26.0722
306,PVD,-71.4399,41.723,FLL,-80.1354,26.0722
307,LAS,-115.143,36.0806,GEG,-117.538,47.625
308,OAK,-122.209,37.7158,GEG,-117.538,47.625
309,PDX,-122.587,45.5867,GEG,-117.538,47.625
310,HRL,-97.663,26.2216,HOU,-95.2795,29.6572
311,JAN,-90.0733,32.3089,HOU,-95.2795,29.6572
312,JAX,-81.676,30.4914,HOU,-95.2795,29.6572
313,LAS,-115.143,36.0806,HOU,-95.2795,29.6572
314,LAX,-118.391,33.9456,HOU,-95.2795,29.6572
315,LIT,-92.219,34.7278,HOU,-95.2795,29.6572
316,MAF,-102.208,31.9361,HOU,-95.2795,29.6572
317,MCO,-81.3115,28.4418,HOU,-95.2795,29.6572
318,MDW,-87.7416,41.7875,HOU,-95.2795,29.6572
319,MSY,-90.2569,29.983,HOU,-95.2795,29.6572
320,OAK,-122.209,37.7158,HOU,-95.2795,29.6572
321,OKC,-97.5974,35.3981,HOU,-95.2795,29.6572
322,PHL,-75.2419,39.8768,HOU,-95.2795,29.6572
323,PHX,-112.03,33.4376,HOU,-95.2795,29.6572
324,LAS,-115.143,36.0806,IAD,-77.4484,38.9556
325,MCO,-81.3115,28.4418,IAD,-77.4484,38.9556
326,MDW,-87.7416,41.7875,IAD,-77.4484,38.9556
327,JAX,-81.676,30.4914,IND,-86.2707,39.7322
328,LAS,-115.143,36.0806,IND,-86.2707,39.7322
329,MCI,-94.7171,39.2992,IND,-86.2707,39.7322
330,MCO,-81.3115,28.4418,IND,-86.2707,39.7322
331,MDW,-87.7416,41.7875,IND,-86.2707,39.7322
332,PHX,-112.03,33.4376,IND,-86.2707,39.7322
333,LAS,-115.143,36.0806,ISP,-73.0984,40.7891
334,MCO,-81.3115,28.4418,ISP,-73.0984,40.7891
335,MDW,-87.7416,41.7875,ISP,-73.0984,40.7891
336,PBI,-80.0889,26.6909,ISP,-73.0984,40.7891
337,MCO,-81.3115,28.4418,JAN,-90.0733,32.3089
338,MDW,-87.7416,41.7875,JAN,-90.0733,32.3089
339,ORF,-76.2154,36.8977,JAX,-81.676,30.4914
340,PHL,-75.2419,39.8768,JAX,-81.676,30.4914
341,LAX,-118.391,33.9456,LAS,-115.143,36.0806
342,LBB,-101.821,33.6566,LAS,-115.143,36.0806
343,LIT,-92.219,34.7278,LAS,-115.143,36.0806
344,MAF,-102.208,31.9361,LAS,-115.143,36.0806
345,MCI,-94.7171,39.2992,LAS,-115.143,36.0806
346,MCO,-81.3115,28.4418,LAS,-115.143,36.0806
347,MDW,-87.7416,41.7875,LAS,-115.143,36.0806
348,MHT,-71.4386,42.9293,LAS,-115.143,36.0806
349,MSY,-90.2569,29.983,LAS,-115.143,36.0806
350,OAK,-122.209,37.7158,LAS,-115.143,36.0806
351,OKC,-97.5974,35.3981,LAS,-115.143,36.0806
352,OMA,-95.8998,41.3,LAS,-115.143,36.0806
353,ONT,-117.594,34.062,LAS,-115.143,36.0806
354,ORF,-76.2154,36.8977,LAS,-115.143,36.0806
355,PDX,-122.587,45.5867,LAS,-115.143,36.0806
356,PHL,-75.2419,39.8768,LAS,-115.143,36.0806
357,PHX,-112.03,33.4376,LAS,-115.143,36.0806
358,PIT,-80.2328,40.4914,LAS,-115.143,36.0806
359,PVD,-71.4399,41.723,LAS,-115.143,36.0806
360,RDU,-78.7923,35.8729,LAS,-115.143,36.0806
361,MCI,-94.7171,39.2992,LAX,-118.391,33.9456
362,MDW,-87.7416,41.7875,LAX,-118.391,33.9456
363,OAK,-122.209,37.7158,LAX,-118.391,33.9456
364,PHX,-112.03,33.4376,LAX,-118.391,33.9456
365,MDW,-87.7416,41.7875,LIT,-92.219,34.7278
366,PHX,-112.03,33.4376,LIT,-92.219,34.7278
367,MCO,-81.3115,28.4418,MCI,-94.7171,39.2992
368,MDW,-87.7416,41.7875,MCI,-94.7171,39.2992
369,OAK,-122.209,37.7158,MCI,-94.7171,39.2992
370,OKC,-97.5974,35.3981,MCI,-94.7171,39.2992
371,PDX,-122.587,45.5867,MCI,-94.7171,39.2992
372,PHX,-112.03,33.4376,MCI,-94.7171,39.2992
373,MDW,-87.7416,41.7875,MCO,-81.3115,28.4418
374,MHT,-71.4386,42.9293,MCO,-81.3115,28.4418
375,MSY,-90.2569,29.983,MCO,-81.3115,28.4418
376,ORF,-76.2154,36.8977,MCO,-81.3115,28.4418
377,PHL,-75.2419,39.8768,MCO,-81.3115,28.4418
378,PHX,-112.03,33.4376,MCO,-81.3115,28.4418
379,PIT,-80.2328,40.4914,MCO,-81.3115,28.4418
380,PVD,-71.4399,41.723,MCO,-81.3115,28.4418
381,RDU,-78.7923,35.8729,MCO,-81.3115,28.4418
382,MHT,-71.4386,42.9293,MDW,-87.7416,41.7875
383,MSY,-90.2569,29.983,MDW,-87.7416,41.7875
384,OAK,-122.209,37.7158,MDW,-87.7416,41.7875
385,OMA,-95.8998,41.3,MDW,-87.7416,41.7875
386,ORF,-76.2154,36.8977,MDW,-87.7416,41.7875
387,PDX,-122.587,45.5867,MDW,-87.7416,41.7875
388,PHL,-75.2419,39.8768,MDW,-87.7416,41.7875
389,PHX,-112.03,33.4376,MDW,-87.7416,41.7875
390,PIT,-80.2328,40.4914,MDW,-87.7416,41.7875
391,PVD,-71.4399,41.723,MDW,-87.7416,41.7875
392,RDU,-78.7923,35.8729,MDW,-87.7416,41.7875
393,PHL,-75.2419,39.8768,MHT,-71.4386,42.9293
394,PHX,-112.03,33.4376,MHT,-71.4386,42.9293
395,PHX,-112.03,33.4376,MSY,-90.2569,29.983
396,ONT,-117.594,34.062,OAK,-122.209,37.7158
397,PDX,-122.587,45.5867,OAK,-122.209,37.7158
398,PHX,-112.03,33.4376,OAK,-122.209,37.7158
399,PHX,-112.03,33.4376,OKC,-97.5974,35.3981
400,PHX,-112.03,33.4376,OMA,-95.8998,41.3
401,PHX,-112.03,33.4376,ONT,-117.594,34.062
402,PHL,-75.2419,39.8768,PBI,-80.0889,26.6909
403,PHX,-112.03,33.4376,PDX,-122.587,45.5867
404,PHX,-112.03,33.4376,PHL,-75.2419,39.8768
405,PIT,-80.2328,40.4914,PHL,-75.2419,39.8768
406,PVD,-71.4399,41.723,PHL,-75.2419,39.8768
407,RDU,-78.7923,35.8729,PHL,-75.2419,39.8768
408,PIT,-80.2328,40.4914,PHX,-112.03,33.4376
409,PVD,-71.4399,41.723,PHX,-112.03,33.4376
410,RDU,-78.7923,35.8729,PHX,-112.03,33.4376
411,FLL,-80.1354,26.0722,BUF,-78.738,42.9309
412,RDU,-78.7923,35.8729,FLL,-80.1354,26.0722
413,IAH,-95.3424,29.9784,GPT,-89.072,30.4133
414,ORD,-87.8825,41.9796,CLE,-81.8339,41.4115
415,EWR,-74.1843,40.6924,RIC,-77.3332,37.5108
416,IAH,-95.3424,29.9784,BHM,-86.7492,33.5604
417,HSV,-86.7767,34.6492,IAH,-95.3424,29.9784
418,CLE,-81.8339,41.4115,SYR,-76.1121,43.1141
419,MCI,-94.7171,39.2992,CLE,-81.8339,41.4115
420,RIC,-77.3332,37.5108,CLE,-81.8339,41.4115
421,LIT,-92.219,34.7278,EWR,-74.1843,40.6924
422,ABE,-75.4342,40.6514,CLE,-81.8339,41.4115
423,EWR,-74.1843,40.6924,BNA,-86.6682,36.1342
424,IAH,-95.3424,29.9784,MEM,-89.9823,35.047
425,EWR,-74.1843,40.6924,ROC,-77.6697,43.1309
426,IAH,-95.3424,29.9784,DFW,-97.0409,32.9222
427,EWR,-74.1843,40.6924,MSP,-93.1987,44.8793
428,EWR,-74.1843,40.6924,MKE,-87.9051,42.9471
429,DAY,-84.2207,39.8968,IAH,-95.3424,29.9784
430,IAH,-95.3424,29.9784,RDU,-78.7923,35.8729
431,RIC,-77.3332,37.5108,IAH,-95.3424,29.9784
432,BDL,-72.6816,41.9271,EWR,-74.1843,40.6924
433,EWR,-74.1843,40.6924,OKC,-97.5974,35.3981
434,GSP,-82.2167,34.8907,IAH,-95.3424,29.9784
435,EWR,-74.1843,40.6924,PVD,-71.4399,41.723
436,BTV,-73.1552,44.4688,EWR,-74.1843,40.6924
437,RDU,-78.7923,35.8729,CLE,-81.8339,41.4115
438,BUF,-78.738,42.9309,EWR,-74.1843,40.6924
439,SLC,-111.982,40.7862,IAH,-95.3424,29.9784
440,CLE,-81.8339,41.4115,DTW,-83.3412,42.2327
441,CLE,-81.8339,41.4115,MKE,-87.9051,42.9471
442,MCI,-94.7171,39.2992,EWR,-74.1843,40.6924
443,IAH,-95.3424,29.9784,IAD,-77.4484,38.9556
444,DAY,-84.2207,39.8968,EWR,-74.1843,40.6924
445,EWR,-74.1843,40.6924,RDU,-78.7923,35.8729
446,CHA,-85.1966,35.0373,IAH,-95.3424,29.9784
447,IAH,-95.3424,29.9784,BNA,-86.6682,36.1342
